job_id,target,target_column,horizon_windows,family,candidate_id,fold,status,failure,full_training_rows,sampled_training_rows,sampled_training_timestamps,validation_rows,training_origin_start,training_origin_end,maximum_training_target_timestamp,validation_origin_start,validation_origin_end,rows,rmse,mae,mape_percent,r_squared,mape_nonzero_rows,mape_zero_actual_rows,fit_seconds,prediction_seconds
volume_h2,volume,target_volume_h2,2,random_forest,forest_balanced,2,success,,93150,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-19T14:30:00+05:30,2025-03-19T15:30:00+05:30,2025-03-19T17:00:00+05:30,2025-03-26T16:30:00+05:30,8400,78.3696445879,53.4530782338,12.6102579451,0.920053072,8400,0,0.050885,0.034877
volume_h2,volume,target_volume_h2,2,random_forest,forest_balanced,3,success,,101550,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-26T14:30:00+05:30,2025-03-26T15:30:00+05:30,2025-03-26T17:00:00+05:30,2025-04-02T16:30:00+05:30,8400,91.8973287437,61.9093382236,13.5614096085,0.897533236,8400,0,0.050639,0.034611
volume_h2,volume,target_volume_h2,2,random_forest,forest_balanced,4,success,,109950,2400,96,8400,2025-01-01T00:00:00+05:30,2025-04-02T14:30:00+05:30,2025-04-02T15:30:00+05:30,2025-04-02T17:00:00+05:30,2025-04-09T16:30:00+05:30,8400,83.8510384698,58.6238871971,17.1124873758,0.884975127,8400,0,0.049427,0.035347
volume_h2,volume,target_volume_h2,2,random_forest,forest_balanced,5,success,,118350,2400,96,8350,2025-01-01T00:00:00+05:30,2025-04-09T14:30:00+05:30,2025-04-09T15:30:00+05:30,2025-04-09T17:00:00+05:30,2025-04-16T15:30:00+05:30,8350,116.096982434,74.1099519502,17.3801719516,0.8439978859,8350,0,0.050257,0.034748
volume_h2,volume,target_volume_h2,2,random_forest,forest_deep,1,success,,84750,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-12T14:30:00+05:30,2025-03-12T15:30:00+05:30,2025-03-12T17:00:00+05:30,2025-03-19T16:30:00+05:30,8400,87.840830503,59.8831554609,18.5011884074,0.904822711,8400,0,0.063074,0.037759
volume_h2,volume,target_volume_h2,2,random_forest,forest_deep,2,success,,93150,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-19T14:30:00+05:30,2025-03-19T15:30:00+05:30,2025-03-19T17:00:00+05:30,2025-03-26T16:30:00+05:30,8400,75.4119374668,51.4750391937,12.1481293036,0.9259736692,8400,0,0.062085,0.038057
volume_h2,volume,target_volume_h2,2,random_forest,forest_deep,3,success,,101550,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-26T14:30:00+05:30,2025-03-26T15:30:00+05:30,2025-03-26T17:00:00+05:30,2025-04-02T16:30:00+05:30,8400,89.2430704377,59.5765098879,13.1112645587,0.903366824,8400,0,0.064379,0.036841
volume_h2,volume,target_volume_h2,2,random_forest,forest_deep,4,success,,109950,2400,96,8400,2025-01-01T00:00:00+05:30,2025-04-02T14:30:00+05:30,2025-04-02T15:30:00+05:30,2025-04-02T17:00:00+05:30,2025-04-09T16:30:00+05:30,8400,81.916904835,56.7986840991,16.3289916092,0.8902203251,8400,0,0.061946,0.037785
volume_h2,volume,target_volume_h2,2,random_forest,forest_deep,5,success,,118350,2400,96,8350,2025-01-01T00:00:00+05:30,2025-04-09T14:30:00+05:30,2025-04-09T15:30:00+05:30,2025-04-09T17:00:00+05:30,2025-04-16T15:30:00+05:30,8350,113.075547954,70.326140918,16.1833966302,0.8520121631,8350,0,0.066155,0.037594
volume_h2,volume,target_volume_h2,2,xgboost,xgb_balanced,1,success,,84750,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-12T14:30:00+05:30,2025-03-12T15:30:00+05:30,2025-03-12T17:00:00+05:30,2025-03-19T16:30:00+05:30,8400,93.2595630473,66.3956017449,23.5308396161,0.8927179123,8400,0,0.037451,0.022924
