task_type,model_version,target,horizon_windows,horizon_minutes,split,dimension,slice_value,rows,positive_rows,sufficient_support,rmse,mae,mape_percent,r_squared,bias,residual_standard_deviation,residual_q10,residual_median,residual_q90,interval_coverage,mean_interval_width,task,accuracy,precision,recall,f1,roc_auc,pr_auc,prevalence,mean_confidence,mean_normalized_entropy,macro_precision,macro_recall,macro_f1
regression,classical_regression_v1,speed,1,30,test,origin_hour,1,1100,,True,2.6825013315,2.1475199803,4.11350367,0.1602194522,-0.00133380510794,2.68250099995,-3.35150161408,0.0200652171295,3.60121662636,0.972727272727,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,origin_hour,2,1100,,True,2.6321095767,2.1330851595,4.1035113605,0.2230859331,0.0475770817903,2.63167954832,-3.41765232471,0.0919745083771,3.40751392177,0.978181818182,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,origin_hour,3,1100,,True,2.7630799888,2.2181735438,4.2456861116,0.1381450289,-0.0938986186187,2.76148403466,-3.6995770749,0.0210157158578,3.38548738716,0.968181818182,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,origin_hour,4,1100,,True,2.7698748928,2.2116937782,4.2671659715,0.1348768041,-0.226234878393,2.76062034724,-3.80613934045,-0.286771294808,3.28200963765,0.969090909091,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,origin_hour,5,1100,,True,2.791832876,2.2140402562,4.4986075927,0.3366316542,-0.00473945577041,2.79182885307,-3.45935935793,0.0781710725783,3.466122679,0.957272727273,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,origin_hour,6,1100,,True,3.3022847089,2.5697263174,6.4573358936,0.7002411693,0.060657934511,3.30172756503,-4.10610835345,-0.0418388000468,4.15594775876,0.927272727273,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,origin_hour,7,1100,,True,5.0464733099,3.92832936,19.7071694956,0.7517864709,0.15289284719,5.04415668318,-5.89718666606,-0.0296683575569,6.56715187573,0.776363636364,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,origin_hour,8,1125,,True,5.5800591794,4.3754898962,29.0815734721,0.7144139546,0.0712053216272,5.5796048469,-6.83865096288,0.0249520994377,7.12148945239,0.710222222222,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,origin_hour,9,1150,,True,5.0984407091,3.8172188585,15.5352954856,0.6823727801,-0.0590388611097,5.09809886893,-5.99690354007,-0.222375799028,5.87885630889,0.792173913043,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,origin_hour,10,1150,,True,3.5930552215,2.8349746244,7.344706445,0.6127245981,0.0539256304909,3.59265053288,-4.35228427717,-0.0036753593404,4.87268867715,0.890434782609,11.7229842228,,,,,,,,,,,,,
