horizon_windows,horizon_minutes,split,dimension,slice_value,rows,sufficient_support,deep_rmse,classical_rmse,rmse_delta_deep_minus_classical,deep_mae,classical_mae,mean_absolute_error_delta,deep_row_win_rate
1,30,validation,actual_congestion,Heavy,2525,True,80.5354522814,88.4999458936,-7.9644936122,63.2542343036,69.9402318799,-6.6859975763,0.588910891089
1,30,validation,actual_congestion,Moderate,6511,True,69.0939494437,74.8342662426,-5.7403167989,52.6856142651,56.7234689814,-4.03785471629,0.543541698664
1,30,validation,actual_congestion,Severe,1410,True,122.772939827,118.724700531,4.0482392963,98.1653903988,94.0173173385,4.14807306024,0.440425531915
2,60,test,overall,all,26500,True,60.8154341757,62.6832533222,-1.8678191465,41.108597521,41.7693825545,-0.660785033498,0.492226415094
2,60,test,road_id,NL-001,1060,True,57.8516999183,59.7108597139,-1.8591597956,40.0413239265,40.6414239059,-0.60009997938,0.503773584906
2,60,test,road_id,NL-002,1060,True,75.33009254,76.1195472028,-0.7894546628,52.0882960217,53.7046985445,-1.61640252288,0.495283018868
2,60,test,road_id,NL-003,1060,True,57.3073686764,60.2217210121,-2.9143523357,39.5136965698,41.5749796512,-2.06128308131,0.531132075472
2,60,test,road_id,NL-004,1060,True,73.8485577055,73.9306946587,-0.0821369532,52.152917384,51.6266390606,0.526278323431,0.472641509434
2,60,test,road_id,NL-005,1060,True,69.7229563427,69.9961795655,-0.2732232228,48.6599996207,47.5421421995,1.11785742121,0.460377358491
2,60,test,road_id,NL-006,1060,True,75.775794647,80.9332635836,-5.1574689366,53.527954294,55.8596842594,-2.3317299654,0.483018867925
2,60,test,road_id,NL-007,1060,True,59.3320023382,62.9379243864,-3.6059220482,39.6373434589,41.3344673745,-1.69712391561,0.500943396226
2,60,test,road_id,NL-008,1060,True,66.7588575109,68.5864496633,-1.8275921524,45.3668043544,46.2055777469,-0.838773392503,0.499056603774
2,60,test,road_id,NL-009,1060,True,52.1911584179,54.6468794602,-2.4557210423,36.5669395524,38.458357874,-1.89141832158,0.507547169811
2,60,test,road_id,NL-010,1060,True,63.003132689,63.252308635,-0.249175946,43.385939099,43.748941282,-0.363002183032,0.501886792453
2,60,test,road_id,NL-011,1060,True,49.6291270216,50.2102946461,-0.5811676245,33.4154779934,33.4741818012,-0.0587038077834,0.492452830189
2,60,test,road_id,NL-012,1060,True,40.0182326339,42.1939917392,-2.1757591053,28.8197271373,29.9093208967,-1.08959375943,0.488679245283
2,60,test,road_id,NL-013,1060,True,44.3443725528,45.2061398923,-0.8617673395,30.0874711459,30.4825114955,-0.395040349565,0.534905660377
2,60,test,road_id,NL-014,1060,True,72.0855857651,78.3469532385,-6.2613674734,47.4419304961,48.9437252537,-1.50179475753,0.496226415094
2,60,test,road_id,NL-015,1060,True,67.1420158984,70.0455935936,-2.9035776952,48.0371518166,48.9532898158,-0.916137999237,0.475471698113
2,60,test,road_id,NL-016,1060,True,69.3108285948,67.4600477315,1.8507808633,48.6950743206,47.0863431526,1.60873116802,0.492452830189
2,60,test,road_id,NL-017,1060,True,47.2947443435,48.2624150847,-0.9676707412,32.4764108855,32.8522751501,-0.375864264606,0.489622641509
2,60,test,road_id,NL-018,1060,True,45.2497933557,46.0722865455,-0.8224931898,31.0068504235,31.0090456536,-0.00219523002066,0.46320754717
2,60,test,road_id,NL-019,1060,True,81.9037801923,84.5494352106,-2.6456550183,55.5912274872,55.4112094927,0.180017994536,0.454716981132
2,60,test,road_id,NL-020,1060,True,45.748151636,48.2438306594,-2.4956790234,31.8989447405,31.9842632786,-0.0853185381285,0.459433962264
2,60,test,road_id,NL-021,1060,True,54.6006940842,56.0672902392,-1.466596155,38.3948467068,39.1603864904,-0.765539783563,0.491509433962
2,60,test,road_id,NL-022,1060,True,50.6762095778,53.6280488809,-2.9518393031,34.1975628994,35.0536815441,-0.856118644647,0.470754716981
2,60,test,road_id,NL-023,1060,True,66.7150472944,70.6160155457,-3.9009682513,45.0055606706,47.4347045944,-2.42914392373,0.514150943396
2,60,test,road_id,NL-024,1060,True,57.1958810417,57.628915034,-0.4330339923,37.5877309335,38.1034595029,-0.515728569455,0.528301886792
2,60,test,road_id,NL-025,1060,True,50.3367634746,49.7996012994,0.5371621752,34.117756086,33.6792538412,0.438502244738,0.498113207547
2,60,test,origin_hour,0,1100,True,24.748357189,22.348664006,2.399693183,18.3092163099,16.3160397827,1.99317652721,0.438181818182
2,60,test,origin_hour,1,1100,True,22.1098073753,20.6655031337,1.4443042416,16.6155881236,15.6088622185,1.0067259051,0.442727272727
2,60,test,origin_hour,2,1100,True,21.5026817832,20.7855244725,0.7171573107,16.2161956258,15.3611940631,0.855001562691,0.466363636364
2,60,test,origin_hour,3,1100,True,23.6049536386,22.6129200446,0.992033594,17.6027138786,16.7144805303,0.888233348263,0.464545454545
2,60,test,origin_hour,4,1100,True,29.1793262747,29.4214754939,-0.2421492192,22.000171132,21.179364548,0.82080658405,0.45
2,60,test,origin_hour,5,1100,True,48.5761549422,48.4059103322,0.17024461,36.4464445201,35.817659032,0.628785488148,0.469090909091
2,60,test,origin_hour,6,1100,True,75.5904235716,80.8994082002,-5.3089846286,57.0258647865,60.5661161738,-3.54025138731,0.522727272727
2,60,test,origin_hour,7,1100,True,100.939687581,106.143549377,-5.2038617961,77.2246012799,81.2836517864,-4.05905050644,0.53
2,60,test,origin_hour,8,1100,True,105.667492049,104.666554192,1.0009378568,77.7924498545,77.0687074559,0.723742398522,0.465454545455
2,60,test,origin_hour,9,1100,True,72.625767477,77.5535808668,-4.9278133898,55.0628858018,58.061139014,-2.99825321213,0.516363636364
2,60,test,origin_hour,10,1100,True,54.1131994897,57.9978410583,-3.8846415686,40.3083923058,43.8992079849,-3.59081567911,0.566363636364
2,60,test,origin_hour,11,1100,True,48.8960951891,50.595349203,-1.6992540139,37.7039883829,38.6431435187,-0.939155135801,0.514545454545
2,60,test,origin_hour,12,1100,True,49.0597953425,48.461933345,0.5978619975,37.648578549,37.7779423285,-0.129363779417,0.491818181818
2,60,test,origin_hour,13,1100,True,49.6688781577,51.6324615314,-1.9635833737,36.2919301558,37.8357070463,-1.54377689049,0.528181818182
2,60,test,origin_hour,14,1100,True,57.9802122869,60.9430017105,-2.9627894236,43.9152183171,46.6121315741,-2.69691325701,0.551818181818
